"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene symbol"
"6161","ILMN_1740200",1.05304329054336,3.46994690058847,4.31863127359182,2.35925412929781e-05,0.00123393906075045,2.39971766162271,"USP18"
"6325","ILMN_1742618",1.20506475309186,9.5941406149299,5.67557021931618,4.25517252737126e-08,1.42434808399541e-05,8.27857670342788,"XAF1"
"7220","ILMN_1756953",1.23368337927341,4.07445887821427,4.93211171790404,1.5850965276994e-06,0.000183663915359508,4.9004184000626,"GBP6"
"7401","ILMN_1760062",1.72895325434646,10.2174049242485,5.91284926577524,1.24496361702406e-08,7.21264883201285e-06,9.43104608198777,"IFI44"
"8253","ILMN_1772964",1.106509134858,3.12201627617026,4.78502482644239,3.10300460913964e-06,0.000285003405045551,4.27626329997799,"CCL8"
"8292","ILMN_1773650",-1.25050742174455,6.97822322004697,-4.24908782591209,3.14963753923008e-05,0.00151092325647843,2.13365497428078,"LRRN3"
"8649","ILMN_1779071",-1.14589732806563,5.15730240560946,-4.66156716290745,5.38974692057171e-06,0.000405928789322859,3.76417567541624,"FEZ1"
"8861","ILMN_1782487",1.2573436099774,7.06628948404015,6.4236110893039,7.88452243185709e-10,1.2264004511266e-06,12.0246227604907,""
"8922","ILMN_1783621",1.93854032962602,4.96666285099113,4.89746893239959,1.8593087128787e-06,0.000196942094029122,4.75205192880735,"CMPK2"
"9431","ILMN_1791759",1.5398471334471,5.70326281213417,5.92015872775447,1.19805536447657e-08,7.21264883201285e-06,9.4670907171012,"CXCL10"
"9631","ILMN_1795181",1.12140076820763,8.03641826619073,5.86688883242235,1.58385003089142e-08,8.22673552252327e-06,9.20513985375861,"DDX60"
"9951","ILMN_1799848",1.05377936782656,6.27498759604985,4.75383093626725,3.57115860736107e-06,0.00030915150633724,4.14585022716941,"ANKRD22"
"10329","ILMN_1805750",1.19062984853334,12.5633845080801,5.37601467383424,1.90933250449561e-07,3.88652371827262e-05,6.87383507575186,"IFITM3"
"10487","ILMN_1808238",-1.08431697754998,6.03418460216437,-5.84631103843659,1.76338374976895e-08,8.56102341753854e-06,9.10440801770704,"RBPMS2"
"10908","ILMN_1815057",1.04524748061306,4.64506623779043,4.84291693202035,2.38638527245968e-06,0.00023494196966706,4.52011578448506,"PDGFRB"
"11034","ILMN_1822671",-1.68628878854981,4.11482312747113,-5.24099174291071,3.68565512112697e-07,5.90606628612081e-05,6.25961018220123,""
"11530","ILMN_1878885",-1.00430690837832,4.01209182906469,-5.06615802422241,8.48313160133566e-07,0.000113080894965415,5.48231094367608,""
"11946","ILMN_2048591",-1.00420037217333,5.78717459904557,-3.56243164321704,0.000448870295626103,0.0092494299083666,-0.292584990554622,"LRRN3"
"11989","ILMN_2054019",1.58698045127355,9.76042122956456,5.39493394603844,1.73958251464542e-07,3.65503119666973e-05,6.96085352225154,"ISG15"
"12025","ILMN_2058782",2.98433317944683,9.37980022623949,5.26683415236,3.25274347770941e-07,5.53567936489831e-05,6.37623850537536,"IFI27"
"12073","ILMN_2066060",1.13697509997134,9.49077634055732,3.42908678579286,0.000720791649679553,0.0127923407179486,-0.720102838642395,"HLA-DRB6"
"12584","ILMN_2132599",1.03815197918945,6.70236604999769,4.61120643146887,6.73031357766354e-06,0.000489752238745633,3.55842070472205,"ANKRD22"
"12843","ILMN_2170814",1.7030436364729,5.52093808308348,5.52246602098335,9.23095582190408e-08,2.35670995839561e-05,7.55346529537512,"LAMP3"
"13353","ILMN_2249018",-1.234593998205,4.60340825482648,-5.77025997444547,2.61646954848563e-08,1.11265702507116e-05,8.73435760735656,"LRRC26"
"14026","ILMN_2347798",1.1538134996879,10.2893919741585,4.44564640847484,1.3791203151346e-05,0.000834649058993435,2.89499381640202,"IFI6"
"14423","ILMN_2374865",1.21011651540207,4.53061170341517,5.51231534623939,9.71218141211632e-08,2.42123068977411e-05,7.50591521476769,"ATF3"
"14620","ILMN_2388547",1.53205028802169,10.9142774157982,6.40590474936787,8.6977459403133e-10,1.2264004511266e-06,11.9322387620252,"EPSTI1"
"14788","ILMN_2399016",-1.28001685773685,3.10806116093042,-6.07782173588186,5.19179213998464e-09,4.34466472247715e-06,10.2522848363514,"MMP28"
"14978","ILMN_2410826",1.07450551137978,9.34934912961988,4.294277312899,2.61153631387562e-05,0.00132449735676459,2.30612910793712,"OAS1"
