"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"202284_s_at",-575.538900264319,1477.64835055774,-3.62805348530706,0.000502055229848602,0.00430902678300113,-4.05476765192157,"CDKN1A"
"219620_x_at",159.283856876588,821.42371717348,3.62798596242462,0.00050216778609249,0.00430902678300113,-4.05478679756768,"TOR4A"
"1554850_at",40.1023194694266,70.8902196310181,3.62781338289505,0.000502455573841173,0.00430902678300113,-4.05483573055606,"VWA5B2"
"226080_at",485.094414710778,2661.33544469639,3.62765829538427,0.000502714326125642,0.00430902678300113,-4.05487970296739,"SSH2"
"219058_x_at",56.9954179734918,88.768940345829,3.62761402420054,0.000502788212608115,0.00430902678300113,-4.05489225514609,"TINAGL1"
"202428_x_at",-1065.17577590774,8743.76540082442,-3.62741411321732,0.000503121982914633,0.00431003509676398,-4.05494893489588,"DBI"
"212895_s_at",368.585587407214,2172.61717192333,3.62699856514473,0.000503816453238274,0.00431413118374019,-4.05506674855008,"ABR"
"201790_s_at",77.6737797395294,279.139435355146,3.62657486880832,0.000504525478405638,0.0043183483329801,-4.05518686596886,"DHCR7"
"50374_at",339.800856526868,1226.87277566523,3.62591350898489,0.000505634110687302,0.00432581140337998,-4.05537434782677,"OXLD1"
"203385_at",1170.26291837696,3742.94720162277,3.62579606156462,0.000505831228635717,0.00432581140337998,-4.05540764010345,"DGKA"
"226582_at",-30.549304700662,50.7113985680076,-3.62544053628507,0.000506428369642761,0.00432906171272421,-4.05550841618853,"LINC02381"
"213111_at",314.445797353704,1809.60014204847,3.62478697262797,0.000507527843541246,0.00433660144976138,-4.05569366145144,"PIKFYVE"
"204342_at",-803.965436998582,2736.80741441218,-3.62408087277178,0.000508718245245614,0.00434491133401853,-4.05589378025186,"SLC25A24"
"221779_at",124.221657050145,294.009915670011,3.62297723894332,0.000510584155246474,0.0043578470109843,-4.05620652994531,"MICALL1"
"232207_at",48.5393784719219,231.572436629762,3.62292665539891,0.000510669832255443,0.0043578470109843,-4.05622086334849,"GUSBP4"
"229989_at",58.6529811079903,233.659561275147,3.62209251340108,0.000512084649319843,0.0043680513949468,-4.05645721336503,"FDXACB1"
