"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold","GeneSymbol"
"1566096_x_at",1.56370771341229,4.25586619189482,5.99237703612533,1.90205317557004e-08,1.23012488022583e-07,8.62356692992978,"TRUE",NA
"1562720_at",1.32520452525677,4.12042601698942,5.98470579757353,1.97366213027067e-08,1.27177344693635e-07,8.58749585670809,"TRUE","LINC02254"
"227253_at",1.21457236408008,4.81424504737295,5.9838604073445,1.98171375162034e-08,1.27666076787843e-07,8.58352233019649,"TRUE","CP"
"1566887_x_at",1.02785617994408,5.21233780523401,5.98204183886597,1.99914354364482e-08,1.28591968527977e-07,8.57497572104414,"TRUE",NA
"1570423_at",1.41464129394631,3.83500319137402,5.98033352597347,2.0156536830667e-08,1.29516823506489e-07,8.56694861249454,"TRUE","CCDST"
"1552848_a_at",1.00924040191365,3.88190746974876,5.97809129216864,2.03752728106432e-08,1.30770427479165e-07,8.55641465930442,"TRUE","PTCHD1"
"220541_at",1.39531855251906,3.87082296984682,5.97665988840197,2.0516127254105e-08,1.31549109606918e-07,8.54969113378329,"TRUE","MMP26"
"209588_at",1.04551459845617,6.56331184067767,5.97575912826569,2.06052544445929e-08,1.32058643389769e-07,8.54546059142215,"TRUE","EPHB2"
"213219_at",1.11038370293934,3.73178775044499,5.97325936121883,2.08545943139905e-08,1.33547077080983e-07,8.53372198930538,"TRUE","ADCY2"
"205139_s_at",-1.01372202947842,5.17783996423679,-5.9709239512684,2.10902158435315e-08,1.34897935335176e-07,8.52275770470681,"TRUE","UST"
"236765_at",1.56176765345678,3.11457588372373,5.96806895216602,2.13818121270056e-08,1.36587285669357e-07,8.50935735733158,"TRUE",NA
"237866_at",1.50060775252389,3.94030833034268,5.96361822016371,2.18443020967901e-08,1.3924883026023e-07,8.48847446691648,"TRUE","PID1"
"213967_at",1.28207228949552,3.34423066672559,5.96278877712798,2.19315714585871e-08,1.39747166706206e-07,8.48458368809355,"TRUE","RALYL"
"241023_at",1.20225272404124,3.76592930027125,5.96035046758956,2.21901037204727e-08,1.41288450089303e-07,8.4731477661585,"TRUE",NA
"232158_x_at",1.14253027923138,4.76477070192981,5.9574985923013,2.24962840283327e-08,1.43087986185329e-07,8.45977555276932,"TRUE","NIPAL1"
"240903_at",1.37083846481096,5.36972116187533,5.95710783897362,2.25385574843281e-08,1.43323520639177e-07,8.45794362544633,"TRUE",NA
"1568647_at",1.50973819830387,3.80550623876002,5.95546176624988,2.27174949142407e-08,1.44360650213402e-07,8.4502272681309,"TRUE","LOC100505851"
